account_id,visit_cnt,last_visit_date,revenue
671969,4,2021-01-09,620
668655,3,2021-02-07,70
673773,5,2020-12-27,640
661850,1,2020-12-16,350
664958,1,2020-12-07,30
677087,1,2021-01-16,50
666541,2,2021-01-01,1460
671012,5,2020-11-22,1030
681744,2,2020-12-29,20
671208,2,2021-02-09,120
671256,5,2021-01-22,230
671336,8,2020-11-26,560
658089,1,2020-12-17,40
658121,1,2021-01-23,70
681910,1,2021-01-12,40
670808,3,2020-12-19,160
670936,1,2020-12-14,60
671016,5,2021-02-06,340
671032,4,2020-11-30,1210
671080,8,2020-12-31,310
681844,1,2021-01-26,20
659767,4,2021-02-06,210
671132,4,2020-12-21,320
671260,2,2020-11-17,100
671276,2,2021-01-07,250
671324,15,2020-12-22,620
671484,3,2020-12-15,210
670763,10,2020-12-29,740
670811,5,2020-12-24,720
670923,1,2021-02-12,250
670971,1,2020-12-02,20
671067,2,2021-01-02,970
671099,1,2020-12-25,1370
671167,3,2021-01-26,1070
671199,1,2020-12-16,90
671231,2,2020-12-21,60
671407,11,2020-12-28,500
671455,6,2021-02-03,890
670935,20,2020-12-24,630
670999,4,2020-12-30,40
671047,3,2020-11-29,50
681619,2,2020-12-09,20
681827,1,2020-12-15,10
659718,1,2021-01-15,90
659798,1,2021-02-15,70
671131,2,2020-12-14,140
671211,2,2020-11-18,20
671243,10,2020-12-22,710
671323,8,2021-02-17,1600
671435,7,2020-12-11,160
658218,1,2021-01-04,100
681927,1,2021-01-07,10
670777,4,2020-12-19,1010
670841,1,2021-01-27,140
670873,2,2020-12-19,180
671065,21,2020-12-29,450
671097,1,2021-02-04,60
681605,1,2020-12-13,20
659768,4,2020-12-13,190
671357,8,2021-01-27,500
671437,1,2021-01-22,20
671453,1,2021-02-04,80
670924,17,2021-01-29,1090
670956,9,2020-11-16,400
671052,2,2021-01-09,100
681736,1,2020-11-12,10
681752,1,2021-01-21,30
681768,3,2020-12-31,30
681784,1,2020-11-06,10
681816,1,2020-11-06,10
659835,3,2021-02-02,100
671152,5,2021-02-13,170
671216,1,2020-11-25,150
671312,22,2020-12-28,810
671440,4,2020-12-09,50
658150,6,2020-12-14,90
681923,1,2020-12-10,10
670805,3,2021-02-08,650
670837,2,2020-12-22,70
670949,10,2021-01-09,340
671013,2,2020-12-25,640
671045,1,2021-01-06,20
671077,4,2020-11-21,330
671093,8,2020-12-10,950
681697,1,2021-01-05,10
659924,2,2020-12-03,50
671241,10,2020-11-29,170
671337,2,2021-01-01,150
671417,6,2020-11-18,200
681912,1,2020-11-13,30
670746,2,2020-12-02,320
670794,9,2021-01-19,160
670810,7,2020-12-23,1060
670890,5,2020-11-21,80
670906,2,2020-12-20,550
670954,4,2020-12-14,330
671002,19,2021-01-28,410
681750,1,2020-11-15,20
681830,1,2021-01-02,10
681894,1,2021-01-03,20
659625,2,2020-12-05,20
659817,3,2020-12-12,30
659961,2,2021-01-01,100
671134,23,2021-02-03,1150
671166,3,2020-12-11,210
671310,17,2020-12-13,740
671358,1,2020-12-08,1110
671390,5,2021-01-30,390
671406,1,2020-12-01,90
671470,2,2020-11-08,100
671486,24,2020-12-09,1460
681956,1,2021-01-12,20
670822,1,2021-02-10,10
671078,5,2020-11-27,280
681778,2,2021-01-07,20
681890,1,2021-01-22,20
659989,4,2021-02-11,930
671210,11,2021-01-07,500
671242,1,2020-11-27,1220
671274,2,2021-01-20,520
671354,9,2020-12-15,480
671450,12,2020-12-21,610
670883,12,2021-02-03,820
670915,2,2020-11-09,450
670931,3,2021-01-04,1330
671091,6,2021-01-12,1110
671107,1,2020-11-26,20
681599,2,2020-12-17,40
681647,1,2020-12-10,30
681695,1,2021-01-20,10
681727,1,2021-01-10,10
681807,1,2021-01-04,60
681855,1,2021-01-09,30
659618,1,2021-02-15,550
659762,1,2021-01-02,340
659890,1,2021-02-13,360
659954,11,2021-02-09,150
659986,1,2021-02-15,140
671319,1,2020-12-21,810
671431,10,2021-02-19,1200
658179,1,2021-02-16,100
681904,1,2020-12-03,20
670834,1,2021-01-20,770
670850,1,2020-12-17,10
670978,5,2020-12-13,90
671042,4,2020-12-03,60
671106,2,2021-01-17,1200
671122,4,2021-01-06,1440
681758,1,2021-01-12,20
681822,1,2020-12-07,50
681838,1,2020-11-03,10
659681,3,2020-12-03,100
659985,1,2021-02-17,160
671206,23,2021-01-07,590
671238,1,2021-01-14,20
671254,10,2020-12-31,280
671398,2,2020-11-23,60
671414,12,2020-12-31,670
671462,2,2021-01-03,40
658175,2,2021-02-07,140
670734,1,2021-01-17,40
670830,29,2020-12-02,910
670846,14,2021-01-26,820
671022,1,2020-12-26,290
671070,15,2020-12-03,470
671086,3,2021-01-02,750
659565,1,2021-01-15,90
659805,1,2020-12-20,20
671202,1,2020-12-04,50
671234,2,2020-11-25,120
671282,2,2021-01-24,180
671314,16,2020-12-19,710
671378,7,2021-01-11,170
658142,1,2021-02-09,80
670893,3,2021-02-09,100
670941,1,2021-01-07,10
670989,2,2020-12-28,1290
671085,15,2021-02-01,740
681641,1,2020-12-18,20
659596,4,2021-02-18,250
659804,1,2021-01-03,30
659980,2,2021-02-06,170
671137,3,2021-02-11,190
671201,2,2021-01-04,1110
671457,19,2020-11-25,550
658192,1,2021-02-14,20
681901,1,2021-01-25,20
681933,1,2020-11-12,10
670751,10,2021-01-07,710
670831,2,2020-12-04,1550
670959,2,2020-11-29,570
671023,42,2020-12-04,1800
671055,3,2021-01-29,140
671103,3,2020-12-04,90
671119,1,2020-11-30,1500
681771,1,2020-11-27,20
659726,2,2020-12-12,130
659886,10,2021-02-20,230
671139,13,2021-01-01,1710
671155,14,2021-02-09,190
671235,36,2020-12-18,800
671267,3,2021-01-27,90
671427,1,2020-11-20,40
671475,1,2020-11-30,220
670768,2,2020-12-20,80
670816,19,2020-12-31,490
670848,1,2020-12-19,600
670864,3,2020-12-18,1510
670880,10,2021-01-21,1100
670944,12,2020-12-25,700
671024,1,2020-11-13,20
681804,1,2020-11-23,10
681820,1,2021-01-15,20
659839,3,2021-01-21,40
671252,3,2020-12-31,80
671396,1,2020-11-05,200
671412,12,2020-12-17,130
671428,1,2021-01-23,20
671460,6,2021-01-13,880
660026,2,2021-01-31,90
660090,2,2021-02-12,50
660122,17,2020-12-29,210
660346,1,2021-01-09,40
671527,1,2020-11-20,150
671559,4,2020-11-22,220
671591,3,2020-12-27,750
671671,1,2021-01-16,60
665498,3,2021-01-11,180
665601,1,2021-02-25,400
665617,7,2020-12-30,330
671807,1,2020-11-24,140
671604,4,2021-01-19,320
671684,3,2021-01-27,620
671780,2,2020-12-24,150
665582,17,2020-12-24,570
671804,4,2020-11-06,860
660024,1,2020-12-05,10
660312,1,2020-12-07,30
671621,1,2020-11-20,960
